127.0.0.1 - - [03/Sep/2014:14:46:21 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:46:21 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:46:22 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1935
127.0.0.1 - - [03/Sep/2014:14:46:22 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:46:22 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:17:10:51 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1764
127.0.0.1 - - [03/Sep/2014:17:10:54 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 24925
127.0.0.1 - - [03/Sep/2014:17:10:54 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:17:10:54 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:17:11:06 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1965
127.0.0.1 - - [03/Sep/2014:17:11:06 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 24925
127.0.0.1 - - [03/Sep/2014:17:11:07 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
